git_repository,total_commits,avg_commits_per_day,last_commit_before_months,git_unique_contributors,github_forks,github_stars,open_PRs,merged_PRs,open_issues,resolved_issues,version_release_frequency_months,version_release_frequency_years,LOC,total_lines_added,total_lines_deleted,lines_added_one_and_half_year,lines_deleted_one_and_half_year,readme_updated,SLOC_JS,SLOC_TS,CC
https://github.com/CHSUVladimir/calendare-chsu,13,0.13,12,2,0,1,0,0,0,0,0,0,1687,82072,12278,82072,12278,True,830,631,0
https://github.com/timjcook/ember-cli-keyboard-nav,10,5.0,81,2,0,0,1,1,0,0,0,0,168,851,80,0,0,False,242,0,13
https://github.com/csync/csync-js,45,0.41,82,7,3,7,0,19,9,10,0.98,11.9,2019,4009,69,0,0,False,1770,0,266
https://github.com/jdsteinbach/eleventy-plugin-toc,49,0.04,29,2,17,56,6,19,12,8,0,0,182,4282,1122,0,0,False,147,0,30
https://github.com/PinionTech/simple-git-child,3,0.02,141,2,0,3,0,1,0,0,0,0,68,130,1,0,0,False,62,0,8
https://github.com/daiheitan/ghost-canvas,14,0.07,92,1,0,3,0,0,0,0,0,0,296,557,75,0,0,False,259,0,33
https://github.com/HuyenNguyen011/shadowmodule,2,2.0,40,1,0,0,0,0,0,0,0,0,17,77,22,0,0,False,15,0,4
https://github.com/Tracktor/treege,466,0.78,0,5,0,8,1,21,0,0,3.59,43.63,0,57819,42064,19637,11559,True,0,7849,0
https://github.com/FlaneurApp/flaneur-social-location,34,0.12,70,5,0,0,0,3,0,1,2.22,27.04,48663,112648,108167,0,0,False,535,0,56
https://github.com/c0bra/svelma,222,0.19,19,20,43,533,7,80,19,41,1.06,12.9,931,96708,39033,0,0,False,664,0,27
https://github.com/radist2s/static-resources-freezer,9,0.01,63,1,0,0,0,0,0,0,0,0,247,315,26,0,0,False,181,0,23
https://github.com/KagamiChan/plugin-tweet,21,7.0,84,2,0,0,0,0,0,0,0,0,53,731,121,0,0,False,53,0,0
https://github.com/Munter/schemes,54,0.02,31,6,3,5,4,18,0,3,0.09,1.1,161,3163,119,0,0,False,119,0,18
https://github.com/kemitchell/curl-quotes.js,6,6.0,102,1,0,0,0,0,0,0,0,0,33,92,2,0,0,False,29,0,2
https://github.com/mharj/minecraft-ping,51,0.03,7,4,2,15,1,8,0,5,0,0,59,28173,11299,12418,2301,True,5,305,0
https://github.com/firstandthird/logr-json,29,0.02,36,4,1,0,9,9,0,0,0.21,2.58,40,7028,3578,0,0,False,37,0,7
https://github.com/Software-Essentials/Avalanche,205,1.99,52,4,0,0,1,26,0,0,0,0,5621,14206,7270,0,0,False,3354,0,870
https://github.com/RikardLegge/modulin-di,27,0.11,75,1,0,0,0,0,0,0,0,0,1258,2734,800,0,0,False,1458,0,37
